account,date,daily_pnl,avg_trade_size,total_fee,num_trades,prev_day_pnl,rolling_3day_pnl,volatility,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral,target
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,17248.14814814815,104.62249,27,-21227.0,-6541.3,9697.112564676147,True,False,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,16058.536341463414,131.679967,82,1603.1,-50631.63333333333,57737.251342629745,True,False,False,False,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,48561.68565217392,390.921553,23,-132271.0,-43555.96666666667,57737.251342629745,True,False,False,False,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,36736.36242424243,121.229992,33,0.0,-102627.333352,82667.97040870834,False,False,True,False,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,11410.954021505377,780.33644,465,-175611.00005600002,-34739.011986000005,102956.69258589532,True,False,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,9400.588039215687,23.971493,51,71393.964098,-21332.811986666675,108794.68780538274,True,False,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,185847.0,92.923496,10,40218.599998,62774.188032,104170.49073997093,False,False,True,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,23593.019856972587,2355.038296,839,76710.0,72646.76188733334,112976.8189410212,False,True,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,10576.687156308852,704.19937,531,101011.685664,184447.31863566666,137350.01212144896,False,False,True,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,26585.06338095238,700.101577,210,375620.270243,173677.620569,140861.9741587582,False,False,False,True,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,10161.056241134751,0.0,141,44400.9058,150306.0882476667,142361.16502979328,False,False,False,True,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,32032.5,0.0,48,30897.0887,43461.3315,144534.43635549326,False,True,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,134600.00166666668,0.0,6,55086.0,28661.029566666664,154792.65337201866,False,False,False,True,0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,27178.041694915253,561.226533,59,0.0,21746.040746666666,22986.536745996927,False,False,False,True,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,13233.776894977169,555.888761,219,10152.12224,41865.839259333334,46006.879419053155,False,True,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,24958.908545454546,137.273975,55,115445.395538,80294.83925933333,55309.48206037029,False,False,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,2985.797555555556,6.71802,45,115287.0,80071.538993,59739.03457523896,False,False,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,8371.136099843994,268.294625,641,9482.221441,219581.29478133333,217314.49758080387,False,True,False,False,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,79640.0,39.819998,5,533974.662903,194552.29478133333,212607.41110578048,False,False,False,True,1
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,21491.640322580646,66.62407,31,40200.0,294010.1554376667,219187.16828074976,False,True,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,1131.888695652174,1.4383267,46,3515.031065,1171.6770216666666,5079.9176558657855,True,False,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,852.88625,19.104602,64,0.0,2010.9394833333336,1689.357645219633,True,False,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,1913.523898305085,20.81460217,59,2517.787385,1376.9844293333335,1549.57942595062,True,False,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.11,0.0,1,1613.165903,1376.9844293333335,1549.57942595062,True,False,False,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,10051.199411764705,119.60926,34,0.0,952.8948043333334,1085.3091848042304,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,2845.9646153846156,61.51029,13,1245.51851,415.1728366666667,1085.3091848042304,False,False,True,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,2440.6282352941175,14.521732,17,0.0,1912.9169963333334,1839.335634292986,True,False,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,2154.3915384615384,89.144541,39,4493.232479,1846.7544903333335,1845.762779216817,True,False,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,2194.294758064516,124.96169717000001,124,1047.030992,3460.7725960000002,2193.2226848557057,True,False,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,1737.369557522124,108.05738221,339,4842.054317,2527.526158,2146.728853553127,True,False,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,2398.331666666667,24.25559825,54,1693.493165,3585.5679603333338,1753.4789339778874,True,False,False,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,1519.465681818182,1.05928092,44,4221.156399,1971.5498546666668,2083.399443295257,False,False,True,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,1317.0667857142857,25.814472,56,0.0,3706.8007436666667,2710.380575226988,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,1602.9452173913044,1.16815524,46,6899.2458320000005,2299.748610666667,2976.847764463432,False,False,True,False,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,1474.6896363636365,28.387735,55,0.0,4757.243644333334,3583.7799383069614,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,2094.719358974359,29.90369878,78,7372.485101,2844.829214,3730.393870988464,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,2792.42166344294,487.25693852,517,1162.002541,4962.313418333334,3490.3242283869154,False,False,True,False,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,612.1092741935485,26.565471000000002,124,6352.452613,-1610.8452250000003,7861.541747396794,False,False,False,True,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,2687.4032704402516,149.553903,159,-12346.990829,-1879.650938666667,7857.404784541704,False,False,False,True,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,1641.2224999999999,34.19572673,160,355.5854,-3620.518834333334,6951.878679919769,False,False,False,True,1
